Reporting Month,County,State,Residential Closings,Source
2014-04,Montgomery,Tennessee,274,Redfin County Market Tracker
2014-04,Robertson,Tennessee,75,Redfin County Market Tracker
2014-04,Rutherford,Tennessee,481,Redfin County Market Tracker
2014-04,Sumner,Tennessee,279,Redfin County Market Tracker
2014-04,Williamson,Tennessee,402,Redfin County Market Tracker
2014-04,Wilson,Tennessee,218,Redfin County Market Tracker
2014-05,Cheatham,Tennessee,50,Redfin County Market Tracker
2014-05,Davidson,Tennessee,1179,Redfin County Market Tracker
2014-05,Dickson,Tennessee,51,Redfin County Market Tracker
2014-05,Maury,Tennessee,136,Redfin County Market Tracker
2014-05,Montgomery,Tennessee,296,Redfin County Market Tracker
2014-05,Robertson,Tennessee,84,Redfin County Market Tracker
2014-05,Rutherford,Tennessee,497,Redfin County Market Tracker
2014-05,Sumner,Tennessee,309,Redfin County Market Tracker
2014-05,Williamson,Tennessee,461,Redfin County Market Tracker
2014-05,Wilson,Tennessee,230,Redfin County Market Tracker
2014-06,Cheatham,Tennessee,40,Redfin County Market Tracker
2014-06,Davidson,Tennessee,1194,Redfin County Market Tracker
2014-06,Dickson,Tennessee,59,Redfin County Market Tracker
2014-06,Maury,Tennessee,148,Redfin County Market Tracker
2014-06,Montgomery,Tennessee,355,Redfin County Market Tracker
2014-06,Robertson,Tennessee,82,Redfin County Market Tracker
2014-06,Rutherford,Tennessee,520,Redfin County Market Tracker
2014-06,Sumner,Tennessee,317,Redfin County Market Tracker
2014-06,Williamson,Tennessee,573,Redfin County Market Tracker
2014-06,Wilson,Tennessee,256,Redfin County Market Tracker
2014-07,Cheatham,Tennessee,48,Redfin County Market Tracker
2014-07,Davidson,Tennessee,1222,Redfin County Market Tracker
2014-07,Dickson,Tennessee,69,Redfin County Market Tracker
2014-07,Maury,Tennessee,122,Redfin County Market Tracker
2014-07,Montgomery,Tennessee,370,Redfin County Market Tracker
2014-07,Robertson,Tennessee,89,Redfin County Market Tracker
2014-07,Rutherford,Tennessee,498,Redfin County Market Tracker
2014-07,Sumner,Tennessee,309,Redfin County Market Tracker
2014-07,Williamson,Tennessee,566,Redfin County Market Tracker
2014-07,Wilson,Tennessee,269,Redfin County Market Tracker
2014-08,Cheatham,Tennessee,45,Redfin County Market Tracker
2014-08,Davidson,Tennessee,1246,Redfin County Market Tracker
2014-08,Dickson,Tennessee,57,Redfin County Market Tracker
2014-08,Maury,Tennessee,150,Redfin County Market Tracker
2014-08,Montgomery,Tennessee,323,Redfin County Market Tracker
2014-08,Robertson,Tennessee,80,Redfin County Market Tracker
2014-08,Rutherford,Tennessee,509,Redfin County Market Tracker
2014-08,Sumner,Tennessee,308,Redfin County Market Tracker
2014-08,Williamson,Tennessee,525,Redfin County Market Tracker
2014-08,Wilson,Tennessee,232,Redfin County Market Tracker
2014-09,Cheatham,Tennessee,42,Redfin County Market Tracker
2014-09,Davidson,Tennessee,1252,Redfin County Market Tracker
2014-09,Dickson,Tennessee,53,Redfin County Market Tracker
2014-09,Maury,Tennessee,144,Redfin County Market Tracker
2014-09,Montgomery,Tennessee,272,Redfin County Market Tracker
2014-09,Robertson,Tennessee,70,Redfin County Market Tracker
2014-09,Rutherford,Tennessee,504,Redfin County Market Tracker
2014-09,Sumner,Tennessee,272,Redfin County Market Tracker
2014-09,Williamson,Tennessee,459,Redfin County Market Tracker
2014-09,Wilson,Tennessee,229,Redfin County Market Tracker
2014-10,Cheatham,Tennessee,47,Redfin County Market Tracker
2014-10,Davidson,Tennessee,1095,Redfin County Market Tracker
2014-10,Dickson,Tennessee,48,Redfin County Market Tracker
